Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
116374117927631468606,116374117927631468606,,1472,1472,3,0.494141,0.610129,4200772.004191,0.103679,0.103553,0,0.120954,0,0.000417,451,0.671223
101765416973555767821,101765416973555767821,,3,3,4,0.473835,0.48233,8102.227219,0.013251,0.013267,2,0.000222,0,0.666667,2,0.043417
112188647432305746617,112188647432305746617,,616,616,3,0.41636,0.48078,333436.162686,0.272567,0.272306,4,0.025559,0,0.008885,1683,0.448796
107727150903234299458,107727150903234299458,,5,5,4,0.347584,0.380202,97.877096,0.024846,0.024873,4,0.000223,0,0.6,6,0.041243
116719211656774388392,116719211656774388392,,395,395,3,0.370872,0.414555,220054.534488,0.178344,0.178171,4,0.016225,0,0.010988,855,0.294438
100432456209427807893,100432456209427807893,,5,5,4,0.35013,0.38369,95.81882,0.026685,0.026713,4,0.000227,0,0.8,8,0.044262
117421021456205115327,117421021456205115327,,463,463,4,0.442626,0.492734,1092275.961483,0.037795,0.037759,1,0.034411,0,0.002758,295,0.217066
101096322838605097368,101096322838605097368,,1,1,5,0.306842,0.32084,0,0.000704,0.000704,1,0.000098,0,0,0,0.00454
116407635616074189669,116407635616074189669,,1688,1688,3,0.519068,0.643068,4572505.77901,0.484532,0.484006,2,0.099753,0,0.001437,2046,1
113556266482860931616,113556266482860931616,,3,3,4,0.346101,0.377993,0,0.018824,0.018845,4,0.000156,0,1,3,0.032394
105706178492556563330,105706178492556563330,,1259,1259,3,0.567939,0.637449,3784451.655806,0.123688,0.123573,3,0.099808,0,0.00074,586,0.598424
111169963967137030210,111169963967137030210,,2,2,4,0.421089,0.438193,0,0.011322,0.011334,2,0.000153,0,1,1,0.029824
107527001343993112621,107527001343993112621,,548,548,3,0.414315,0.473533,482935.854385,0.243891,0.243674,4,0.023564,0,0.011716,1756,0.412783
110877363259509543172,110877363259509543172,,6,6,4,0.350244,0.383922,97.877096,0.029387,0.029418,4,0.00026,0,0.733333,11,0.048149
105513412023818293063,105513412023818293063,,138,138,3,0.395131,0.422227,46937.666857,0.068673,0.068639,4,0.00608,0,0.040305,381,0.125664
115710735637044108808,115710735637044108808,,7,7,4,0.350673,0.384581,128.312878,0.030666,0.030698,4,0.000297,0,0.714286,15,0.050312
108736646334864181044,108736646334864181044,,562,562,3,0.412606,0.472952,268533.216818,0.254138,0.253891,4,0.023179,0,0.008564,1350,0.417498
112393248315358692010,112393248315358692010,,7,7,4,0.350673,0.384581,128.312878,0.030666,0.030698,4,0.000297,0,0.714286,15,0.050312
108683283643126638695,108683283643126638695,,281,281,4,0.392355,0.434569,39925.963373,0.14513,0.145007,4,0.010861,0,0.019675,774,0.233956
107111579950257773726,107111579950257773726,,5,5,4,0.349135,0.382334,2.058276,0.026067,0.026094,4,0.000225,0,0.8,8,0.043186
113754283359377615013,113754283359377615013,,1,1,5,0.306842,0.32084,0,0.000704,0.000704,1,0.000098,0,0,0,0.00454
